year,loc,time1,time2,time3,time4,time5
2000,Bardwell,60.9,65.3,76.6,80.6,87.3
2001,Bardwell,51.8,67.8,74.2,80.2,86.7
2002,Bardwell,54.8,68.4,72,80.1,83.2
2003,Bardwell,56.2,66.9,75.5,79,86.3
2004,Bardwell,61.8,66.2,74.4,79.4,83.5
2005,Bardwell,56.7,65.5,73.5,83.6,85.1
2006,Bardwell,62.1,72,78,83.7,87.7
2007,Bardwell,63.9,62.3,74.6,81.3,83.7
2008,Bardwell,60.9,66.5,77,86.5,89
2009,Bardwell,58.9,64.8,73.3,83.8,86.5
2010,Bardwell,55.7,66.7,76.9,86.5,85.9
2000,Leonard,65.3,76.6,80.6,87.3,90.2
2001,Leonard,67.8,74.2,80.2,86.7,84.9
2002,Leonard,68.4,72,80.1,83.2,84.7
2003,Leonard,66.9,75.5,79,86.3,86.7
2004,Leonard,66.2,74.4,79.4,83.5,81.5
2005,Leonard,65.5,73.5,83.6,85.1,86.8
2006,Leonard,72,78,83.7,87.7,89.8
2007,Leonard,62.3,74.6,81.3,83.7,87.8
2008,Leonard,66.5,77,86.5,89,86.7
2009,Leonard,64.8,73.3,83.8,86.5,85.2
2010,Leonard,66.7,76.9,86.5,85.9,89.8
2000,Prosper,60.9,65.3,76.6,80.6,87.3
2001,Prosper,51.8,67.8,74.2,80.2,86.7
2002,Prosper,54.8,68.4,72,80.1,83.2
2003,Prosper,56.2,66.9,75.5,79,86.3
2004,Prosper,61.8,66.2,74.4,79.4,83.5
2005,Prosper,56.7,65.5,73.5,83.6,85.1
2006,Prosper,62.1,72,78,83.7,87.7
2007,Prosper,63.9,62.3,74.6,81.3,83.7
2008,Prosper,60.9,66.5,77,86.5,89
2009,Prosper,58.9,64.8,73.3,83.8,86.5
2010,Prosper,55.7,66.7,76.9,86.5,85.9
2000,Corpus Christi,67.4,71.2,73.2,79.9,81.9
2001,Corpus Christi,63.7,61.5,74.8,77.9,82.8
2002,Corpus Christi,56.2,66.2,77.5,79.5,82.7
2003,Corpus Christi,57.3,64,72.9,81.5,82.7
2004,Corpus Christi,58,70.8,71.4,76.2,82.3
2005,Corpus Christi,62.8,66.3,72.6,77.4,82.1
2006,Corpus Christi,62.1,71.2,77.6,80.8,82.1
2007,Corpus Christi,59.6,69.1,69.5,76.9,81.3
2008,Corpus Christi,64.8,66.5,72.7,79.9,83.1
2009,Corpus Christi,65.6,66.8,75,81.1,85
2010,Corpus Christi,54,63.3,72.4,79.5,83.5
2000,Tynan,67.4,71.2,73.2,79.9,81.9
2001,Tynan,63.7,61.5,74.8,77.9,82.8
2002,Tynan,56.2,66.2,77.5,79.5,82.7
2003,Tynan,57.3,64,72.9,81.5,82.7
2004,Tynan,58,70.8,71.4,76.2,82.3
2005,Tynan,62.8,66.3,72.6,77.4,82.1
2006,Tynan,62.1,71.2,77.6,80.8,82.1
2007,Tynan,59.6,69.1,69.5,76.9,81.3
2008,Tynan,64.8,66.5,72.7,79.9,83.1
2009,Tynan,65.6,66.8,75,81.1,85
2010,Tynan,54,63.3,72.4,79.5,83.5
2000,Wharton,63.7,67.2,77.8,81,85.1
2001,Wharton,52.9,69.5,75.3,80.6,84.6
2002,Wharton,57.9,72.8,76.4,81.4,81.7
2003,Wharton,56.9,68.3,78.8,80.6,81.8
2004,Wharton,64.7,66.5,75.1,79.7,81.7
2005,Wharton,59.1,66.7,74.6,82.8,84.6
2006,Wharton,64.5,74.2,76.7,81.4,84.4
2007,Wharton,62.7,62.6,74,79.6,79.5
2008,Wharton,60.4,66.8,76.7,85.5,83.6
2009,Wharton,62.3,67.6,76.7,84.4,87.8
2010,Wharton,56.5,67.3,77.5,83.4,84.1
2000,Thrall,63.7,67.2,77.8,81,85.1
2001,Thrall,52.9,69.5,75.3,80.6,84.6
2002,Thrall,57.9,72.8,76.4,81.4,81.7
2003,Thrall,56.9,68.3,78.8,80.6,81.8
2004,Thrall,64.7,66.5,75.1,79.7,81.7
2005,Thrall,59.1,66.7,74.6,82.8,84.6
2006,Thrall,64.5,74.2,76.7,81.4,84.4
2007,Thrall,62.7,62.6,74,79.6,79.5
2008,Thrall,60.4,66.8,76.7,85.5,83.6
