loc,year,yield
Bardwell,2000,9.534821
Bardwell,2001,6.8884
Bardwell,2002,8.071746
Bardwell,2003,11.236913
Bardwell,2004,10.072694
Bardwell,2005,6.761973
Bardwell,2006,4.445583
Bardwell,2007,10.77322
Bardwell,2008,4.348216
Bardwell,2009,3.404093
Bardwell,2010,5.93253
Castroville,2000,9.934319
Castroville,2001,8.279197
Castroville,2002,9.725923
Castroville,2003,11.01339
Castroville,2004,8.421337
Castroville,2005,8.673269
Corpus Christi,2000,4.585444
Corpus Christi,2003,4.834347
Corpus Christi,2004,8.690128
Corpus Christi,2007,7.125184
Corpus Christi,2010,6.021316
Corpus Christi,2000,4.71034
Corpus Christi,2001,11.768772
Corpus Christi,2002,12.245042
Corpus Christi,2003,10.867766
Corpus Christi,2004,10.839066
Corpus Christi,2005,9.915842
Corpus Christi,2006,12.081095
Corpus Christi,2007,13.14054
Corpus Christi,2008,11.098045
Corpus Christi,2009,10.531291
Corpus Christi,2010,9.084527
Dalhart,2004,17.080938
Dalhart,2005,13.249031
Dalhart,2006,11.279958
Dalhart,2007,17.623767
Dalhart,2008,17.808855
Dalhart,2009,16.510829
Dalhart,2010,16.5525
Dumas,2000,12.327348
Dumas,2001,13.066507
Dumas,2002,14.794322
Dumas,2003,13.322987
Dumas,2004,13.319913
Dumas,2005,10.052984
Dumas,2006,12.701716
Dumas,2007,16.227479
Dumas,2008,13.703866
Dumas,2009,15.310223
Dumas,2010,15.928292
Granger,2000,8.076874
Granger,2001,7.72583
Granger,2002,6.210988
Granger,2003,5.952018
Granger,2004,9.352528
Granger,2005,8.071471
Granger,2006,7.162206
Granger,2007,9.091132
Granger,2008,5.439696
Hondo,2006,10.910453
Hondo,2007,10.38494
Hondo,2008,9.251416
Hondo,2009,11.086311
Hondo,2010,10.607485
Halfway,2001,5.844391
Leonard,2009,3.610933
Prosper,2000,7.858369
Prosper,2001,3.294205
Prosper,2002,7.806043
Prosper,2003,8.679575
Prosper,2004,9.121329
Prosper,2005,4.402611
Prosper,2006,3.615643
Prosper,2007,10.452125
Prosper,2008,3.733612
Springlake,2000,14.019503
Springlake,2001,7.954711
Springlake,2002,7.510739
Springlake,2003,8.251255
Thrall,2010,4.419714
Tynan,2007,10.694093
Tynan,2008,7.519963
Tynan,2009,6.325818
Tynan,2010,11.180945
Weslaco,2000,7.619912
Weslaco,2001,5.918437
Weslaco,2002,8.489325
Weslaco,2003,7.317792
Weslaco,2004,10.673063
Weslaco,2005,7.667419
Weslaco,2006,7.052821
Weslaco,2007,9.872014
Weslaco,2008,8.655385
Weslaco,2009,8.045836
Weslaco,2010,9.74881
Wharton,2000,8.964481
Wharton,2001,7.912229
Wharton,2002,8.289211
Wharton,2003,6.507954
Wharton,2004,7.996034
Wharton,2005,9.59581
Wharton,2006,10.556732
Wharton,2007,11.413112
Wharton,2008,6.65849
Wharton,2009,3.030584
Wharton,2010,8.42305
